"Plot","Value","date","MAP","Index"
"K07",1.99799997062655e-05,2022-01-16,2,"B5"
"K08",2.26199990720488e-05,2022-01-16,2,"B5"
"K09",2.3239999791258e-05,2022-01-16,2,"B5"
"K10",2.14800002140692e-05,2022-01-16,2,"B5"
"K11",2.3029999283608e-05,2022-01-16,2,"B5"
"K12",2.32900001719827e-05,2022-01-16,2,"B5"
"K13",2.47799998760456e-05,2022-01-16,2,"B5"
"K14",1.99000005522976e-05,2022-01-16,2,"B5"
"K15",2.0609999410226e-05,2022-01-16,2,"B5"
"S09",2.2000000171829e-05,2022-01-16,2,"B5"
"S13",2.43200011027511e-05,2022-01-16,2,"B5"
"S14",2.47700008912943e-05,2022-01-16,2,"B5"
"S15",2.43200011027511e-05,2022-01-16,2,"B5"
"S16",1.94200001715217e-05,2022-01-16,2,"B5"
"S17",2.20649999391753e-05,2022-01-16,2,"B5"
"S18",2.055000004475e-05,2022-01-16,2,"B5"
"S19",2.05949991141097e-05,2022-01-16,2,"B5"
"S20",2.04799998755334e-05,2022-01-16,2,"B5"
"S21",1.9580000298447e-05,2022-01-16,2,"B5"
"S22",1.950499972736e-05,2022-01-16,2,"B5"
"S23",2.18799996218877e-05,2022-01-16,2,"B5"
"S25",2.18500008486444e-05,2022-01-16,2,"B5"
"S26",2.2210000679479e-05,2022-01-16,2,"B5"
"S27",2.21099999180296e-05,2022-01-16,2,"B5"
"S28",2.20099991565803e-05,2022-01-16,2,"B5"
"S29",2.07900011446327e-05,2022-01-16,2,"B5"
"S30",2.31199992413167e-05,2022-01-16,2,"B5"
"S31",2.28699991566828e-05,2022-01-16,2,"B5"
"S32",2.5909999749274e-05,2022-01-16,2,"B5"
"S33",2.07100001716753e-05,2022-01-16,2,"B5"
"E7",2.55399991146987e-05,2022-01-16,2,"B6"
"E8",2.60399992839666e-05,2022-01-16,2,"B6"
"E9",2.79600008070702e-05,2022-01-16,2,"B6"
"E10",2.53800008067628e-05,2022-01-16,2,"B6"
"E11",2.43899994529784e-05,2022-01-16,2,"B6"
"E12",2.39399996644352e-05,2022-01-16,2,"B6"
"E13",2.38600005104672e-05,2022-01-16,2,"B6"
"E14",2.33600003411993e-05,2022-01-16,2,"B6"
"E15",2.30599998758407e-05,2022-01-16,2,"B6"
"E16",2.40099998336518e-05,2022-01-16,2,"B6"
"E17",2.43800004682271e-05,2022-01-16,2,"B6"
"K01",2.43600006797351e-05,2022-01-16,2,"B6"
"K02",2.21000000237837e-05,2022-01-16,2,"B6"
"K03",2.66400002146838e-05,2022-01-16,2,"B6"
"K04",2.86199992842739e-05,2022-01-16,2,"B6"
"K05",2.71400003839517e-05,2022-01-16,2,"B6"
"K06",2.88150004053023e-05,2022-01-16,2,"B6"
"K07",2.86100002995227e-05,2022-01-16,2,"B6"
"K08",2.91300002572825e-05,2022-01-16,2,"B6"
"K09",2.90299994958332e-05,2022-01-16,2,"B6"
"K10",2.92999993689591e-05,2022-01-16,2,"B6"
"K11",2.9779999749735e-05,2022-01-16,2,"B6"
"K12",2.857999970729e-05,2022-01-16,2,"B6"
"K13",3.05899993691128e-05,2022-01-16,2,"B6"
"K14",2.79800005955622e-05,2022-01-16,2,"B6"
"K15",2.72399993264116e-05,2022-01-16,2,"B6"
"S09",2.75099991995376e-05,2022-01-16,2,"B6"
"S13",3.04900004266528e-05,2022-01-16,2,"B6"
"S14",3.05899993691128e-05,2022-01-16,2,"B6"
"S15",2.95099998766091e-05,2022-01-16,2,"B6"
"S16",2.64749996858882e-05,2022-01-16,2,"B6"
"S17",2.82250002783258e-05,2022-01-16,2,"B6"
"S18",2.72699999186443e-05,2022-01-16,2,"B6"
"S19",2.76200007647276e-05,2022-01-16,2,"B6"
"S20",2.70399996225024e-05,2022-01-16,2,"B6"
"S21",2.67399991571438e-05,2022-01-16,2,"B6"
"S22",2.67100003839005e-05,2022-01-16,2,"B6"
"S23",2.89799991151085e-05,2022-01-16,2,"B6"
"S25",2.38400007219752e-05,2022-01-16,2,"B6"
"S26",2.43199992837617e-05,2022-01-16,2,"B6"
"S27",2.43499998759944e-05,2022-01-16,2,"B6"
"S28",2.66200004261918e-05,2022-01-16,2,"B6"
"S29",2.80900003417628e-05,2022-01-16,2,"B6"
"S30",2.74899994110456e-05,2022-01-16,2,"B6"
"S31",2.64699992840178e-05,2022-01-16,2,"B6"
"S32",2.93699995381758e-05,2022-01-16,2,"B6"
"S33",2.6120000256924e-05,2022-01-16,2,"B6"
"E7",2.77700000879122e-05,2022-01-16,2,"B7"
"E8",2.94500005111331e-05,2022-01-16,2,"B7"
"E9",3.06600013573188e-05,2022-01-16,2,"B7"
"E10",2.8500000553322e-05,2022-01-16,2,"B7"
"E11",2.70399996225024e-05,2022-01-16,2,"B7"
"E12",2.61799996223999e-05,2022-01-16,2,"B7"
"E13",2.60199994954746e-05,2022-01-16,2,"B7"
"E14",2.54099995800061e-05,2022-01-16,2,"B7"
"E15",2.49099994107382e-05,2022-01-16,2,"B7"
"E16",2.5850000383798e-05,2022-01-16,2,"B7"
"E17",2.68599997070851e-05,2022-01-16,2,"B7"
